PAIS,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
IRAN,7129219,6962185,6381468,5782851,5560744,7617982,8724849,8314210,6898920,5396027,4610434,3597370,2960124,2100044,1286720,790058,494379,237583,65934,11592,621
IRAQ,4885578,4896541,4609154,4140946,3565644,3019970,2895505,2532821,2120989,1786297,1478843,980748,663786,578632,349989,204654,104702,42581,13520,1697,58
IRELAND,352050,377682,365176,321329,303782,305158,341277,411982,415677,379915,329843,298793,258541,223582,190093,132327,87727,50925,22750,6844,1116
ISLE OF MAN,4880,4916,4938,4849,5121,5380,5124,5081,5369,6434,6823,6706,5797,5170,5060,3610,2544,1541,810,289,57
ISRAEL,754690,804033,762461,705286,654577,609137,583758,558762,538539,501237,436228,381309,347662,324876,266382,173802,124989,86547,43823,14736,2641
ITALY,2661512,2796052,2932599,2957462,3037704,3315948,3545863,3946177,4516718,5106839,5067833,4740561,3996755,3495503,3320370,2534457,2114250,1335855,688561,248544,43096
JAMAICA,225479,234435,247721,254086,249943,218686,193235,170297,156287,163818,166670,149989,120343,88310,66588,49330,31838,15834,4891,729,61
JAPAN,4790505,5270112,5610333,5746194,6143535,6122481,6530651,7454375,8239595,9449453,8387970,7721272,7413527,8359661,9119993,7181210,5378653,3782114,1992075,673178,140585
JERSEY,6167,5452,5194,5581,7537,8520,8540,6369,4327,5431,7366,7238,6121,5034,4462,2953,2336,1398,712,269,66
JORDAN,1189896,1215145,1171590,1111006,1028373,944179,837147,727304,631486,555487,458721,330221,223239,151196,110682,75089,40255,15466,3597,525,40
KAZAKHSTAN,1625476,1737119,1626088,1250083,1225328,1549496,1672632,1447353,1228765,1155388,1009399,1051230,904873,665341,386298,222259,230869,62285,34802,6074,791
KENYA,6949387,6892673,6881169,6058220,4888793,4029157,3832192,3567116,2923427,2106317,1609944,1232907,913600,672937,452397,284063,154624,61423,15375,2080,135
KIRIBATI,10814,10327,10686,10940,11690,10276,9754,8003,6161,5047,5538,4329,3105,2127,1474,844,459,175,41,5,1
